timestamp,link_id,latency_ms,jitter_ms,packet_loss_pct,bandwidth_util_pct,rtt_ms
1775502496.716,5g-mobile,7.322,1.618,0.03502,7.63,15.008
1775502502.403,5g-mobile,12.218,3.151,0.03655,14.15,25.158
1775502508.067,5g-mobile,18.479,2.69,0.0,26.65,38.597
1775502513.72,5g-mobile,20.671,5.837,0.07491,37.38,42.916
1775502519.419,5g-mobile,17.97,7.413,0.0779,30.58,38.562
1775502525.087,5g-mobile,17.908,5.67,0.12053,20.44,38.541
1775502530.761,5g-mobile,20.197,6.373,0.08204,19.53,42.465
1775502536.418,5g-mobile,26.128,6.224,0.09841,37.96,54.981
1775502542.08,5g-mobile,29.57,3.38,0.07788,49.08,62.194
1775502547.754,5g-mobile,31.349,3.11,0.07642,49.75,65.436
1775502553.454,5g-mobile,35.258,2.965,0.07136,46.34,74.377
1775502559.145,5g-mobile,33.056,3.152,0.0005,30.16,69.154
1775502564.798,5g-mobile,27.5,3.503,0.0,39.6,56.629
1775502570.463,5g-mobile,28.748,3.824,0.0,35.26,60.444
1775502576.132,5g-mobile,30.598,5.061,0.0,29.69,63.802
1775502581.784,5g-mobile,30.141,4.423,0.00619,27.69,63.82
1775502587.484,5g-mobile,30.189,5.189,0.04542,36.96,63.081
1775502593.155,5g-mobile,21.761,4.641,0.01748,33.15,45.321
1775502598.832,5g-mobile,21.0,3.701,0.08591,35.37,44.383
1775502604.5,5g-mobile,24.13,2.915,0.10178,38.61,50.859
1775502610.16,5g-mobile,36.814,8.069,0.0711,45.94,76.706
1775502615.82,5g-mobile,33.169,7.417,0.02084,43.08,69.388
1775502621.512,5g-mobile,31.98,6.366,0.01977,37.57,66.897
1775502627.189,5g-mobile,34.423,7.089,0.0,52.66,71.756
1775502632.896,5g-mobile,28.073,6.932,0.02092,43.58,58.936
1775502638.586,5g-mobile,29.736,10.915,0.10595,35.51,62.92
1775502644.25,5g-mobile,24.551,9.822,0.08915,38.38,51.357
1775502649.916,5g-mobile,16.515,8.949,0.09871,30.85,33.553
1775502655.592,5g-mobile,22.488,6.751,0.10732,33.98,46.926
1775502661.337,5g-mobile,35.731,6.569,0.0975,42.01,75.109
1775502667.066,5g-mobile,36.812,6.07,0.08062,40.53,77.618
1775502672.788,5g-mobile,28.367,7.178,0.03181,45.69,60.697
1775502678.482,5g-mobile,31.137,6.884,0.0017,41.22,65.981
1775502684.201,5g-mobile,25.834,6.512,0.05258,40.75,54.815
1775502689.923,5g-mobile,24.873,4.863,0.06708,34.76,51.739
1775502695.637,5g-mobile,23.147,3.422,0.07855,39.52,48.907
1775502701.314,5g-mobile,22.692,4.951,0.0751,45.52,47.197
1775502706.992,5g-mobile,27.938,3.963,0.06244,44.11,59.091
1775502712.694,5g-mobile,30.248,5.138,0.12186,36.82,63.944
1775502718.407,5g-mobile,33.709,3.152,0.08342,36.0,71.505
1775502724.115,5g-mobile,31.003,4.498,0.08576,32.13,65.652
1775502729.805,5g-mobile,33.13,6.207,0.06976,26.23,69.292
1775502735.522,5g-mobile,25.237,5.38,0.05527,28.7,53.691
1775502741.238,5g-mobile,25.767,4.387,0.10125,27.77,54.7
1775502746.949,5g-mobile,31.455,4.568,0.09154,35.79,66.203
1775502752.653,5g-mobile,32.269,3.642,0.10585,36.14,68.147
