timestamp,link_id,latency_ms,jitter_ms,packet_loss_pct,bandwidth_util_pct,rtt_ms
1775502496.716,fiber-primary,2.27,0.39,0.00895,12.05,5.226
1775502502.403,fiber-primary,4.61,0.434,0.018,28.78,9.009
1775502508.067,fiber-primary,5.628,0.562,0.01383,35.17,10.9
1775502513.72,fiber-primary,6.27,0.559,0.0166,44.24,12.686
1775502519.419,fiber-primary,7.748,0.649,0.01451,44.32,15.831
1775502525.087,fiber-primary,9.604,0.738,0.01728,45.07,20.216
1775502530.761,fiber-primary,21.01,3.145,0.01488,46.35,43.422
1775502536.418,fiber-primary,17.346,2.375,0.01139,40.48,35.666
1775502542.08,fiber-primary,13.979,1.79,0.01296,43.37,28.397
1775502547.754,fiber-primary,13.46,1.395,0.01073,47.75,26.963
1775502553.454,fiber-primary,13.453,1.119,0.00833,45.95,27.355
1775502559.145,fiber-primary,11.966,0.879,0.01014,37.22,24.728
1775502564.798,fiber-primary,11.079,0.832,0.00969,30.82,22.305
1775502570.463,fiber-primary,10.218,0.826,0.00276,41.2,21.017
1775502576.132,fiber-primary,9.099,0.678,0.00334,42.93,18.809
1775502581.784,fiber-primary,9.478,0.631,0.00926,42.4,19.428
1775502587.484,fiber-primary,10.246,0.569,0.0073,41.95,21.009
1775502593.155,fiber-primary,12.428,0.688,0.00961,48.77,25.324
1775502598.832,fiber-primary,11.458,0.559,0.01299,47.7,23.208
1775502604.5,fiber-primary,11.105,0.545,0.01248,51.14,22.432
1775502610.16,fiber-primary,9.996,0.602,0.01238,51.66,21.189
1775502615.82,fiber-primary,11.477,0.638,0.00929,43.42,23.425
1775502621.512,fiber-primary,10.508,0.807,0.01136,42.7,20.849
1775502627.189,fiber-primary,10.909,0.408,0.00899,41.58,22.749
1775502632.896,fiber-primary,11.895,0.44,0.01327,42.12,23.829
1775502638.586,fiber-primary,11.053,0.554,0.01107,42.88,23.037
1775502644.25,fiber-primary,11.198,0.722,0.00803,42.73,23.58
1775502649.916,fiber-primary,12.593,0.763,0.0018,40.55,26.248
1775502655.592,fiber-primary,13.759,0.538,0.0063,36.41,28.216
1775502661.337,fiber-primary,14.238,0.694,0.0052,41.72,28.662
1775502667.066,fiber-primary,13.268,0.905,0.0,39.86,27.15
1775502672.788,fiber-primary,11.614,0.851,0.0,33.61,23.623
1775502678.482,fiber-primary,10.23,1.163,0.0,41.39,20.752
1775502684.201,fiber-primary,12.33,1.216,0.00026,40.82,25.426
1775502689.923,fiber-primary,12.441,0.844,0.00481,44.48,26.103
1775502695.637,fiber-primary,12.617,0.795,0.0,53.61,26.077
1775502701.314,fiber-primary,11.838,0.951,0.00023,49.0,24.304
1775502706.992,fiber-primary,11.696,0.76,0.01161,50.34,23.791
1775502712.694,fiber-primary,11.827,0.851,0.01597,47.67,23.953
1775502718.407,fiber-primary,11.007,0.615,0.0168,50.92,21.869
1775502724.115,fiber-primary,11.168,0.581,0.00898,47.21,22.97
1775502729.805,fiber-primary,12.93,0.629,0.01503,48.04,26.919
1775502735.522,fiber-primary,12.478,0.711,0.01278,46.1,26.245
1775502741.238,fiber-primary,11.054,0.769,0.00731,48.86,22.3
1775502746.949,fiber-primary,10.593,0.709,0.01052,49.9,21.308
1775502752.652,fiber-primary,10.442,0.905,0.01142,52.79,21.769
1775502758.369,fiber-primary,10.265,0.996,0.01603,52.32,21.099
