timestamp,link_id,latency_ms,jitter_ms,packet_loss_pct,bandwidth_util_pct,rtt_ms
1775502496.716,satellite-backup,20.0,4.024,0.03372,6.61,46.252
1775502502.403,satellite-backup,27.438,2.047,0.01448,14.59,63.302
1775502508.067,satellite-backup,37.306,3.76,0.05561,24.4,85.777
1775502513.72,satellite-backup,36.331,3.96,0.0,28.78,83.422
1775502519.419,satellite-backup,48.384,5.769,0.0,28.61,110.903
1775502525.087,satellite-backup,53.997,7.039,0.07079,33.42,124.911
1775502530.761,satellite-backup,52.458,6.163,0.1295,25.22,120.799
1775502536.418,satellite-backup,61.337,6.187,0.13037,22.57,140.409
1775502542.08,satellite-backup,62.939,8.504,0.22818,25.08,144.996
1775502547.754,satellite-backup,56.565,11.618,0.16757,24.06,129.9
1775502553.454,satellite-backup,61.326,12.525,0.26422,25.22,141.505
1775502559.145,satellite-backup,66.927,11.473,0.14942,26.61,154.124
1775502564.798,satellite-backup,59.658,12.99,0.21092,28.01,137.447
1775502570.463,satellite-backup,54.285,10.553,0.22923,24.06,124.532
1775502576.132,satellite-backup,51.018,10.998,0.24702,18.22,118.159
1775502581.784,satellite-backup,57.43,7.583,0.22127,19.11,132.442
1775502587.484,satellite-backup,54.241,7.349,0.25968,20.47,124.452
1775502593.155,satellite-backup,57.816,7.469,0.25833,25.43,132.603
1775502598.832,satellite-backup,59.605,4.889,0.1514,21.03,137.201
1775502604.5,satellite-backup,60.166,3.611,0.0853,21.65,138.111
1775502610.16,satellite-backup,54.857,4.64,0.2057,25.06,125.643
1775502615.82,satellite-backup,54.381,8.2,0.24009,19.67,124.549
1775502621.512,satellite-backup,54.61,11.131,0.19673,28.3,125.949
1775502627.189,satellite-backup,53.48,12.275,0.22569,35.32,123.506
1775502632.896,satellite-backup,50.144,12.506,0.21466,34.31,114.963
1775502638.586,satellite-backup,47.312,8.957,0.25491,29.36,109.023
1775502644.25,satellite-backup,62.914,7.707,0.22754,30.41,145.069
1775502649.916,satellite-backup,67.074,7.308,0.13402,26.58,154.204
1775502655.592,satellite-backup,60.408,11.164,0.16078,26.45,138.656
1775502661.337,satellite-backup,54.843,7.776,0.10077,24.77,126.413
1775502667.066,satellite-backup,48.2,6.953,0.11621,24.77,110.698
1775502672.789,satellite-backup,57.758,6.271,0.24421,28.18,133.273
1775502678.482,satellite-backup,56.017,7.3,0.2344,30.19,128.819
1775502684.201,satellite-backup,59.179,7.32,0.12115,32.63,136.033
1775502689.923,satellite-backup,67.98,9.63,0.17881,34.82,155.776
1775502695.637,satellite-backup,63.962,9.425,0.13456,30.59,146.418
1775502701.314,satellite-backup,60.04,8.674,0.2269,26.46,138.357
1775502706.992,satellite-backup,65.238,7.902,0.20283,26.52,150.775
1775502712.694,satellite-backup,63.292,8.998,0.25259,33.3,145.985
1775502718.407,satellite-backup,57.376,7.819,0.303,29.6,131.729
1775502724.115,satellite-backup,51.874,7.942,0.29692,29.96,119.792
1775502729.805,satellite-backup,45.253,5.464,0.14376,27.54,104.812
1775502735.522,satellite-backup,45.544,6.544,0.14108,31.78,104.783
1775502741.238,satellite-backup,50.508,8.12,0.08796,27.21,116.357
1775502746.949,satellite-backup,47.303,9.836,0.24485,27.82,109.814
1775502752.653,satellite-backup,41.175,13.239,0.31658,29.04,94.563
1775502758.369,satellite-backup,45.089,10.24,0.22481,25.95,103.999
1775502764.058,satellite-backup,49.644,10.18,0.11764,28.72,115.097
1775502769.711,satellite-backup,48.456,11.706,0.36353,27.8,111.76
