timestamp,link_id,latency_ms,jitter_ms,packet_loss_pct,bandwidth_util_pct,rtt_ms
1775502150.63,wifi,33.6,2.074,0.0,9.0,33.6
1775502156.306,wifi,33.0,1.0,0.0,1.34,33.0
1775502161.974,wifi,33.4,1.342,0.0,0.87,33.4
1775502167.631,wifi,34.2,4.494,0.0,0.63,34.2
1775502173.299,wifi,30.8,1.095,0.0,0.95,30.8
1775502179.03,wifi,62.6,19.552,0.0,0.96,62.6
1775502184.675,wifi,33.8,5.805,0.0,0.68,33.8
1775502190.319,wifi,31.6,2.191,0.0,0.27,31.6
1775502195.974,wifi,32.6,1.14,0.0,1.03,32.6
1775502201.657,wifi,34.2,2.775,0.0,0.92,34.2
1775502207.344,wifi,31.4,1.949,0.0,0.61,31.4
1775502213.015,wifi,33.6,4.278,0.0,0.38,33.6
1775502218.695,wifi,34.6,3.209,0.0,0.86,34.6
1775502224.339,wifi,47.4,32.254,0.0,0.39,47.4
1775502229.995,wifi,31.0,2.121,0.0,0.96,31.0
1775502235.661,wifi,40.2,7.563,0.0,0.95,40.2
1775502241.314,wifi,31.6,0.894,0.0,0.56,31.6
1775502246.984,wifi,34.6,2.793,0.0,0.67,34.6
1775502252.651,wifi,34.2,6.419,0.0,0.7,34.2
1775502258.333,wifi,33.4,3.362,0.0,0.72,33.4
1775502263.987,wifi,30.4,2.191,0.0,1.81,30.4
1775502269.639,wifi,32.6,1.673,0.0,0.65,32.6
1775502275.305,wifi,33.2,1.483,0.0,0.52,33.2
1775502280.951,wifi,31.2,1.304,0.0,0.66,31.2
1775502286.619,wifi,37.8,11.454,0.0,0.64,37.8
1775502292.401,wifi,135.8,58.606,0.0,0.25,135.8
1775502298.115,wifi,37.2,7.95,0.0,0.61,37.2
1775502303.795,wifi,33.4,2.074,0.0,0.32,33.4
1775502309.504,wifi,34.4,6.58,0.0,0.48,34.4
1775502315.17,wifi,41.2,20.092,0.0,0.21,41.2
1775502320.867,wifi,33.2,5.167,0.0,0.74,33.2
1775502326.51,wifi,37.8,12.478,0.0,1.1,37.8
1775502332.198,wifi,35.6,9.236,0.0,1.33,35.6
1775502337.882,wifi,33.8,4.207,0.0,0.26,33.8
1775502343.519,wifi,36.6,7.021,0.0,0.39,36.6
